,Artist,Lyrics,Song
916,AWOLNATION,"['She was built with a brain and some swagger', 'A little scream, little cry, little laughter', ""She's a ten, I'm a joke in my own mind\nBut she still loves to dance with my punch lines"", 'This love found us\nNow I see it\nThis love up down\nPlease believe', ""Baby, when I'm yellin' at you\nIt's not your fault\nIt's not your fault"", ""Baby cuz I'm crazy for you\nIt's not your fault"", ""Maybe I'm a little confused\nIt's not your fault"", ""Baby, it's wonderful news\nIt's not your fault"", ""Oh, it's not that you should care\nI just wanted you to know"", ""I'm a fight with myself till I'm bleeding\nJust a taste of your skin start the healing"", 'Anyone from my past get your ammo\nFind my sun in the dark side of my shadow, yeah']",Not Your Fault
917,fun. Featuring Janelle Monae,"['Give me a second I, I need to get my story straight', 'My friends are in the bathroom getting higher than the Empire State', ""My lover she's waiting for me just across the bar\nMy seat's been taken by some sunglasses asking 'bout a scar"", ""And I know I gave it to you months ago\nI know you're trying to forget"", ""But between the drinks and subtle things, the holes in my apologies\nYou know I'm trying hard to take it back"", ""So if by the time the bar closes\nAnd you feel like falling down\nI'll carry you home"", 'Tonight\nWe are young', ""So let's set the world on fire\nWe can burn brighter\nThan the sun"", ""So let's set the world on fire\nWe can burn brighter\nThan the sun"", ""Now I know that I'm not\nAll that you got"", 'I guess that I, I just thought\nMaybe we could find new ways to fall apart', ""But our friends are back\nSo let's raise a cup"", ""So let's set the world on fire\nWe can burn brighter\nThan the sun"", ""So let's set the world on fire\nWe can burn brighter\nThan the sun"", 'Carry me home tonight\nJust carry me home tonight\nCarry me home tonight\nJust carry me home tonight', 'The moon is on my side\nI have no reason to run\nSo will someone come and carry me home tonight', 'The angels never arrived\nBut I can hear the choir\nSo will someone come and carry me home', ""So let's set the world on fire\nWe can burn brighter\nThan the sun""]",We Are Young
918,The Naked And Famous,"['Like punching in a dream, breathing life into my nightmare', 'Like punching in a dream, breathing life into my nightmare', 'Like punching in a dream breathing life into the nightmare', 'Like punching in a dream breathing life into the nightmare']",Punching In A Dream
919,Art Of Dying,[],Get Thru This
920,Mayer Hawthorne,['If we went out I woulda fucking dumped you'],The Walk
921,Grouplove,"['I am a man, man man man\nUp, up in the air', 'And I run around, round round\nRound this town town', ""And act like I don't care"", ""So when you see me flying by the planet's moon\nYou don't need to explain if everything's changed\nJust know I'm just like you"", 'So I pull the switch, the switch, the switch inside my head\nAnd I see black, black, green, and brown, brown, brown and blue\nYellow violets, red\nAnd suddenly a light appears inside my brain', 'And I think of my ways, I think of my days', 'And know that I have changed', ""It's the colors you have\nNo need to be sad\nIt really ain't that bad"", ""So mistress, mistress have you been up to the roof?\nHe shot himself, self\nThere's blood on the wall\nCause he couldn't face the truth"", 'Oh, knock that down, leave the ground and find some space', ""And tell your friends, friends\nYou'll be back again-gain\nBefore it's too late"", ""It's the colors you have\nNo need to be sad\nIt really ain't that bad"", ""It really ain't that bad"", ""Just know that you don't know"", ""We call it life\nOh yeah, that's what we call it\nWe can't call it at all\nWe call it life\nOh yeah, that's what we call it\nWhen you can't call it at all\nYeah, we call it\nOh yeah that's what we call it\nOhhh\nYeah that's right, we call it\nOhhh\nWe do it for love, sweet love""]",Colours
922,Disturbed,"['Rrwoooaaaw', 'Bloodlust tonight, now I can’t control my venom’s flow\nGet back from me demon, or be exorcised!']",Hell
923,Jane's Addiction,[],Underground
924,Ryan Adams,[],Lucky Now
925,Staind,[],Eyes Wide Open
926,Snow Patrol,"['semaphore', 'semaphore']",Called Out In The Dark
927,The Fray,"[""Oh, you got a fire and it's burnin' in the rain\nThought that it went out, but it's burnin' just the same"", ""'Cause if you love someone, you love them all the same""]",Heartbeat
928,Aranda,['Every single lie\nEvery promise broken\nLeads me to the other side\nOf a life going nowhere'],Undone
929,M83.,"['At night the city grows', 'Look at the horizon glow', 'Drinking in the lights', 'Looking at the mutated skyline', 'The city is my church', 'It wraps me in its blinding twilight']",Midnight City
930,All That Remains,[],The Waiting One
931,The Decemberists,"['California succumbed to the fault line', 'We heaved relief\nAs scores of innocents died', 'And the Andalusian tribes', 'Setting the lay of Nebraska alight', 'Till all that remains is the arms of the angels', 'Hetty Green', 'Queen of supply-side', 'bonhomie bone-drab\nYou know what I mean', 'In the year of the chewable Ambien tab', ""Stands at the Dowager Empress's side"", ""And you've receded into loam"", 'Will we gather to conjure the rain down?', ""And I'll be crowned the community kick-it-around"", 'And the Andalusian tribes', 'Setting the lay of Nebraska alight']",Calamity Song
932,The Airborne Toxic Event,[],All I Ever Wanted
933,Shinedown,"['It’s 8 A.M\nThis hell I’m in', 'Seems I’ve crossed the line again\nFor being nothing more than who I am', 'So break my bones\nAnd throw your stones', 'All you’ll ever be\nIs a faded memory of a bully', 'Make another joke\nWhile they hang another rope', 'No ones gonna cry\nOn the very day you die\nYou’re a bully', 'You can’t undo', 'Whenever I see black and blue\nI feel the past\nI share the bruise', 'No ones gonna cry\nOn the very day you die\nYou’re a bully']",Bully
934,Van Halen,[],Tattoo
935,The Shins,"['Well this is just a simple song', 'I told you about all those fears\nAnd away they did run', 'You sure must be strong\nWhen you feel like an ocean being warmed by the sun', 'When I was just nine-years-old\nI swear that I dreamt', 'Your face on a football field', 'And a kiss that I kept\nUnder my vest;\nApart from everything\nBut the heart in my chest', ""Don't go thinking you gotta be tough, and bleed like a stone"", 'Could be there’s nothing else in our lives, so critical\nAs this little home', 'My life in an upturned boat\nMarooned on a cliff\nYou brought me a great big flood\nAnd you gave me a lift', 'Girl, what a gift!\nYou tell me with your tongue\nAnd your breath was in my lungs\nAnd we float up through the rift', ""I know that things can really get rough when you go it alone\nDon't go thinking you gotta be tough, and bleed like a stone"", ""Well this would be a simple song\nTo say what you've done"", 'I told you about all those fears\nAnd away they did run', 'You sure must be strong\nWhen you feel like an ocean being warmed by the sun', 'Remember walking a mile to your house\nAglow in the dark\nI made a fumbling play for your heart\nAnd the act struck a spark\nYou wore a charm on the chain that I stole\nEspecial for you', ""Love's such a delicate thing that we do\nWith nothing to prove\nWhich I never knew""]",Simple Song
936,Seether,[],No Resolution
937,Black Stone Cherry,"['Move along so far from home', 'I miss your touch and I miss your smile\nThe thing you do that drives me wild']",In My Blood
938,Neon Trees,"[""Hey baby what you got to say\nAll you're giving me is fiction"", ""It started with a whisper\nAnd that was when I kissed her\nAnd then she made my lips hurt\nI can hear the chit chat\nTake me to your love shack\nMama's always got a backtrack\nWhen everybody talks back"", 'Hey honey you could be my drug\nYou could be my new prescription\nToo much could be an overdose', 'All this trash talk make me itching', ""It started with a whisper\nAnd that was when I kissed her\nAnd then she made my lips hurt\nI can hear the chit chat\nTake me to your love shack\nMama's always got a backtrack\nWhen everybody talks back"", ""Hey sugar show me all your love\nAll you're giving me is friction"", 'Hey sugar what you gotta say?', ""It started with a whisper\nAnd that was when I kissed her\nAnd then she made my lips hurt\nI can hear the chit chat\nTake me to your love shack\nMama's always got a backtrack\nWhen everybody talks back""]",Everybody Talks
939,Graffiti6,[],Free
940,Bruce Springsteen,"[""We take care of our own\nWe take care of our own\nWherever this flag's flown\nWe take care of our own"", ""From Chicago to New Orleans, from the muscle to the bone\nFrom the shotgun shack to the Superdome\nThere ain't no help, the cavalry stayed home\nThere ain't no one hearing the bugle blowin'"", ""Where's the love that has not forsaken me"", ""Where's the work that set my hands, my soul free"", ""Where's the spirit that'll reign, reign over me"", ""Where's the promise from sea to the shining sea\nWhere's the promise from sea to the shining sea""]",We Take Care Of Our Own
941,Train,"['On the other side of a street I knew\nStood a girl that looked like you', ""I guess that's déjà vu\nBut I thought this can't be true\nCause you moved to west L.A. or New York or Santa Fe\nOr wherever to get away from me"", ""I didn't leave you cause I was all through"", 'Oh I was overwhelmed and frankly scared as hell\nBecause I really fell for you', ""Oh I swear to ya\nI'll be there for ya\nThis is not a drive by"", 'Just a shy guy looking for a 2-ply\nHefty bag to hold my love', 'When you move me everything is groovy', ""They don't like it sue me"", 'The way you do me', ""Oh I swear to ya\nI'll be there for ya\nThis is not a drive by"", 'My love for you went viral', 'And I loved you every mile you drove away', 'But now here you are again', 'So let\'s skip the ""How you been?""\nAnd get down to the ""more than friends"" at last', ""Oh I swear to ya\nI'll be there for ya\nThis is not a drive by"", 'Just a shy guy looking for a 2-ply', 'Hefty bag to hold my love', 'When you move me everything is groovy', ""They don't like it sue me"", ""Please believe that when I leave\nThere's nothing up my sleeve but love for you\nAnd a little time to get my head together too"", 'Hefty bag to hold my love']",Drive By
942,Foxy Shazam,['When you booty pop and drop it'],I Like It
943,Coldplay,"['Stole a key\nTook a car downtown where the lost boys meet\nTook a car downtown and took what they offered me\nTo set me free', 'I saw the lights go down at the end of the scene\nSaw the lights go down and standing in front of me', 'In my scarecrow dreams', 'When they smash my heart into smithereens\nBe a bright red rose come bursting through concrete']",Charlie Brown
944,Bush,[],Baby Come Home
945,The Black Keys,"['[Verse 1]', 'Down in the waves\nShe screams again\nRoar at the door\nMy mind can’t take much more', 'I could never drown in', ""They wanna get my\nThey wanna get my\nGold on the ceiling\nI ain’t blind\nJust a matter of time\nBefore you steal it\nIt's alright, ain't no guard in my house"", ""Clouds covered love's\nBarb-wired snare\nStrung up, strung out\nI just can’t go without\n\n[Pre-Chorus]\nI could never drown in"", ""They wanna get my\nThey wanna get my\nGold on the ceiling\nI ain’t blind\nJust a matter of time\nBefore you steal it\nIt's alright, ain't no guard in my house""]",Gold On The Ceiling
946,Jack White,"['I want love\nTo roll me over slowly\nStick a knife inside me\nAnd twist it all around', 'I want love to', 'Grab my fingers gently\nSlam them in a doorway', 'Murder my own mother\nAnd take her off to somewhere\nLike hell or up above', ""An' I want love to\nChange my friends to enemies\nChange my friends to enemies\nAnd show me how it's all my fault"", ""I won't let love disrupt, corrupt or interrupt me\nI won't let love disrupt, corrupt or interrupt me\nYeah, I won't let love disrupt, corrupt, or interrupt me anymore"", 'Forget that you offended me\nOr how you have defended me\nWhen everybody tore me down', ""Yeah, I want love to\nChange my friends to enemies\nChange my friends to enemies\nAnd show me how it's all my fault""]",Love Interruption
947,Red Hot Chili Peppers,"['Custom love is the nomenclature', ""This is for the folks in Fayetteville\nIt'll come true if you say it will""]",Look Around
948,Halestorm,"['She reads those magazines\nThat say you failed the test', 'That bitch can eat her heart out!', 'That chick can eat her heart out!', 'It checks you in and kicks you down\nAnd chews you up and spits you out', 'It messes with your sanity by twisting all your thoughts around']",Love Bites (So Do I)
949,Pop Evil,"['Ohhh, what she does to me\nWith her long dark hair and her sexy thighs', 'Baby let me come inside', ""Cuz she's hell on heels\nAnd she turns my wheels\nWith her devil smile and her angel eyes\nShe got me all hypnotized\nAnd she's hell on heels"", 'That girl needs somebody like me\nA real man born with a sex degree', ""I was raised by the devil's own kin\nTaught me that a good time was never a sin"", ""She walks like she's walkin' on water\nShe moves like the boss's daughter\nShe rides like a '67 Chevy\nIn her drop top red and white and blue"", ""I love the way she moves those heels from hell\nLunch breaks lead to drinks in cheap hotels\nI'm just another guy she'll burn inside her fire\nI'd sell my soul for her desire""]",Boss's Daughter
950,Chevelle,[],Hats Off To The Bull
951,Slash Featuring Myles Kennedy & The Conspirators,[],You're A Lie
952,Van Halen,[],She's The Woman
953,John Mayer,"['Did you know that you could be wrong\nAnd swear you’re right?\nSome people been known to do it\nAll their lives', 'But you find yourself alone\nJust like you found yourself before', 'Hard times help me see', 'I’m a good man with a good heart\nHad a tough time, got a rough start\nBut I finally learned to let it go\nNow I’m right here, and I’m right now', 'And I’m hoping, knowing somehow', 'That my shadow days are over\nMy shadow days are over now', ""Well I'm no trouble maker\nAnd I never meant her harm\nBut it doesn’t mean I didn’t make it\nHard to carry on"", 'Well it sucks to be honest (honest)\nAnd it hurts to be real', ""But it's nice to make some love\nThat I can finally feel"", 'Hard times let me be']",Shadow Days
954,The Dirty Heads,[],Spread Too Thin
955,New Medicine,[],Race You To The Bottom
956,Garbage,"[""Salute the sun, I've been sitting here all night long"", 'Hauling rock over Buddha with the Longhorn', 'Got a hole, rip a pocket off my uniform', 'With the Blackwatch Boys get your heads down', ""Duty calls but it is way too late I'm too far gone"", 'Waiting for Godot', 'hell with my pants down', 'I miss my dog and I miss my freedom', ""I don't know why they are calling on the radio"", ""They know I'm here just out of sight"", ""I don't know why they're calling on the radio"", ""He's by my side and I know I'm right"", ""I hate the things I think about you when I'm all alone\nI know you're tough but I've been gone for so long"", 'I play the memories of you inside my head\nSo all those pictures of us burn and radiate', ""Watch the clouds and I'm falling, falling through the cracks\nHead beats and the heart is pounding fast"", ""I don't know why they are calling on the radio"", ""They know I'm here just out of sight"", ""I don't know why they're calling on the radio"", ""He's by my side and I know I'm right"", '[Bridge]', ""My brain, my body's fried\nI've got to stay alive\nI've got to take a chance and keep on moving\nKeep on moving"", ""I don't know why they are calling on the radio"", ""They know I'm here just out of sight"", ""Don't know why they're calling on the radio"", ""He's by my side and I know I'm right""]",Blood For Poppies
957,Hurt,[],How We End Up Alone
958,Adelitas Way,"['I need you, you need me', 'We make the perfect kind of misery\nI help you, you help me', ""Become the one I swore I'd never be\nThe one that I don't ever want be"", ""I like the way you won't apologize\nI like the way you just demoralize\nI like the way you always roll your eyes\nSomeone as perfect as you\nIs hard to criticize"", 'I love you more and you just fake it\nI want you more and you just fake it', ""I like the way you won't apologize"", 'Someone as perfect as you\nIs hard to criticize', ""There's always something wrong\nThere's something I didn't do""]",Criticize
959,Switchfoot,"['I’ve tasted fire I’m ready to come alive\nI can’t just shut it up and fake that I’m alright', 'I’m ready now\nI’m not waiting for the afterlife', 'Let it burn the way the sunlight burns my skin', 'The way I feel inside, the way the day begins', 'I’m ready now\nI’m not waiting for the other side\nI’m ready now\nI’m ready now', 'Everyday\nThe world is made\nA chance to change\nBut I feel the same', 'I still believe we could live forever\nYou and I we begin forever now\nForever now\nForever', 'I still believe in us together\nYou and I we’re here together now\nForever now\nForever', 'now\nOr never now', 'Everyday\nA choice is made\nEveryday\nI choose my fate', 'And I wonder why\nWould I wait till I die\nTo come alive?\nTo come alive?']",Afterlife
960,Linkin Park,"['You told me yes, you held me high\nAnd I believed when you told that lie\nI played soldier, you played king\nAnd struck me down when I kissed that ring\nYou lost that right to hold that crown\nI built you up but you let me down']",Burn It Down
961,Soundgarden,"['What if all you understand\nCould fit into the center of our hand?', 'Like the sun, we will live to rise', 'Warm my face\nWarm your face', 'Like the sun, we will live to rise\nLike the sun, we will live and die and then ignite again\nLike the sun, we will live to rise\nLike the sun, we will live and die and then ignite again\nLike the sun, we will live to rise, again\nAgain']",Live To Rise
962,Silversun Pickups,"['Of spoiled goodnights\nReplacing lullabies', 'How could they never notice\nWhat they planted in your spades?', ""See you laughing in a picture\nBut I know what's out of frame"", ""And I'm so proud\nThat you're in my hands now"", ""If you can stay here long enough\nWe can play with Bloody Mary\nSay her name into the dark\nActivate our nerve endings\nIf we can stay here long enough\nWe can play with Bloody Mary\nShe can chase us through the dark\nActivate our nerve endings\n\nWe'll stay...""]",Bloody Mary (Nerve Endings)
963,Godsmack,[],Rocky Mountain Way
964,Foo Fighters,"['Another line upon your face', ""Your bridges are burnin' down\nThey're all comin' down\nIt's all comin' 'round\nYou're burnin' them down\nIt's all comin' round\nThey're all comin' down\nYour bridges are burnin' now"", ""Your bridges are burnin' down\nThey're all comin' down\nIt's all comin' 'round\nYou're burnin' them down\nIt's all comin' round\nThey're all comin' down\nYour bridges are burnin' now"", ""Your bridges are burnin' down\nThey're all comin' down\nIt's all comin' 'round\nYou're burnin' them down\nIt's all comin' round\nThey're all comin' down""]",Bridge Burning
965,Volbeat,['And a gangster keep on telling\nThat he got a song that matters'],Still Counting
966,Florence + The Machine,"['You are the hole in my head', 'You are the space in my bed', 'You are the silence in between\nWhat I thought and what I said', ""You are the night-time fear\nYou are the morning when it's clear\nWhen it's over, you're the start"", ""You're my head and you're my heart"", 'No light, no light\nIn your bright blue eyes', 'I never knew daylight could be so violent\nA revelation in the light of day', ""You can't choose what stays and what fades away"", 'No light, no light', 'Tell me what you want me to say', 'Through the crowd I was crying out and\nIn your place there were a thousand other faces\nI was disappearing in plain sight\nHeaven help me, I need to make it right', ""You want a revelation\nYou want to get right\nBut it's a conversation\nI just can't have tonight"", 'You want a revelation\nSome kind of resolution\nYou want a revelation', 'No light, no light\nIn your bright blue eyes', 'I never knew daylight could be so violent', 'No light, no light', 'Tell me what you want me to say', ""Would you leave me\nIf I told you what I've done?"", ""And would you leave me\nIf I told you what I've become?"", ""Because it's so easy\nTo say it to a crowd\nBut it's so hard, my love\nTo say it to you out loud"", 'No light, no light\nIn your bright blue eyes', 'I never knew daylight could be so violent', 'No light, no light', 'Tell me what you want me to say', ""You want a revelation\nYou want to get right\nBut it's a conversation\nI just can't have tonight"", 'You want a revelation\nSome kind of resolution\nYou want a revelation', ""You want a revelation\nYou want to get right\nBut it's a conversation\nI just can't have tonight"", 'You want a revelation\nSome kind of resolution', 'Tell me what you want me to say']","No Light, No Light"
967,WALK THE MOON,"['Screen falling off the door door hanging off the hinges\nMy feet are still sore my back is on the fringes\nWe tore up the walls we slept on couches', 'We lifted this house we lifted this house\nFire-crackers in the east my car parked south\nYour hands on my cheeks your shoulder in my mouth\nI was up against the wall on the west mezzanine\nWe rattle this town we rattle this scene', 'O, Anna Sun!', 'O, Anna Sun!', 'We got no money, but we got heart', ""We're gonna rattle this ghost town"", 'This house is falling apart', 'My feet are still sore my back is on the fringes', 'We were up against the wall on the west mezzanine\nWe rattle this town we rattle this scene', 'O, Anna Sun!', 'O, Anna Sun!', 'We got no money, but we got heart', ""We're gonna rattle this ghost town"", 'This house is falling apart', 'Fumbling around the back\nNot one seat belt on', 'Wait for summertime', 'Coming up for air', 'Live my life without\nComing up for air', ""Now it's all a wash"", 'I want everyone\nRacing down the hill\nI am faster than you', 'Wait for summertime\nWait for summertime', 'O, Anna Sun!', 'O, Anna Sun!', 'We got no money, but we got heart', ""We're gonna rattle this ghost town"", 'This house is falling apart', 'This house is falling apart', 'This house is falling apart', ""We're gonna rattle this ghost town"", 'This house is falling apart', 'This house is falling apart']",Anna Sun
968,The Offspring,"[""All your anger, all your hurt\nDoesn't matter in the end\nThose days go by\nAnd we all start again"", 'Seasons change overnight', 'A new day rises above']",Days Go By
969,Jack White,"['(Verse 1)', ""She's got stickers on her locker"", ""And the boy's number's there in magic marker"", ""I'm hungry and the hunger will linger"", 'I eat sixteen saltine crackers then I lick my fingers', ""Well every morning I deliver the news\nBlack hat, white shoes and I'm red all over"", ""She's got a pink mailbox, that she puts up front\nGarbage in garbage out, she's gettin' what she wants"", ""Who's jealous, who's jealous, who's jealous, who's jealous of who?"", ""If I get busy then I couldn't care less what you do\nBut when I'm by myself I think of nothin' else\nThan if a boy just might be gettin' through and touchin' you"", 'Spike heels make a hole in a lifeboat', ""Driftin' away when I’m talkin' and laughin' as we float"", ""I hear her whistle, that's how I know she's home"", 'Lipstick, eyelash, broke mirror, broken home', ""Force fed, forced meds 'til I drop dead"", 'You can’t defeat her, when you meet her you’ll be what I said', ""But lord knows there's a method to my madness"", ""Bustin' those jokes as I float in a sea of sadness"", ""She doesn't know but when she's gone I sit and drink her perfume"", ""I'm sure she's drinkin' too, but why, where, and what for, and whom?"", ""And I'm solo rowin', I'm one side of the boat"", ""Lookin' out, throwin' up, a lifesaver down my throat"", ""Who's jealous, who's jealous, who's jealous, who's jealous of who?""]",Sixteen Saltines
970,Shinedown,"['So have you ever been caught in a sea of despair?\nAnd your moment of truth\nIs the day that you say “I’m not scared”', 'Put your hands in the air\nIf you hear me out there\nI’ve been looking for you day and night\nShine a light in the dark\nLet me see where you are\n‘Cause I’m not gonna leave you behind\n\nIf I told you that you’re not alone\nAnd I show you this is where you belong\nPut your hands in the air\nOne more time']",Unity
971,Rush,['Some days were dark\nI wish that I could live it all again\nSome nights were bright\nI wish that I could live it all again'],Headlong Flight
972,Metric,"['Rubber soul with a razor blade', ""Behind the church, hiding place\nIt was a long joke 'til the punch line came"", ""Double dutch with a hand grenade\nBehind the church, hiding place\nApathetic to the Devil's face"", 'Youth without youth\nYouth without youth', 'we played\nHide and seek on the fire escape', ""Hangman, we played\nBlind man's bluff with the 9th brigade\nThrow the brick through the windowpane\nDouble dutch 'til they stop the game\n'Til the cops show up\nHandcuff stunned\nThey let us go but we lost one!\n\n[Verse 5]\nHangman, we played\nBlind man's bluff 'til they stopped the game\nYouth without youth\nBorn without time\nYouth without youth\nCan you read my mind?""]",Youth Without Youth
973,Dead Sara,"[""His skin was soft as leather\nI'm the weatherman\nNo one else more dedicated\nI'm the weatherman"", 'You got the right\nBut the choice to kill', 'No, Son of Sam\nWill let you in to turn against', 'Addicted to the love of ourselves', ""So go for the kill\n'Cause no one else cares""]",Weatherman
974,Evans Blue,[],This Time It's Different
975,P.O.D.,[],Lost In Forever (Scream)
976,Art Of Dying,[],Sorry
977,Aerosmith,"['we traded them toys', 'for other joys', ""And we didn't give a"", 'I took a chance at the high school dance', 'Never knowin wrong from right', 'And that same show 40 years ago', 'And if Satan had a lady friend, her name was Mary Jane', 'And how we got that golden fleece\nFrom tokin on that pipe of peace']",Legendary Child
978,Five Finger Death Punch,"[""It's caving in around me\nWhat I thought was solid ground"", ""I tried to look the other way\nBut I couldn't turn around"", ""It's okay for you to hate me\nFor all the things I've done\nI've made a few mistakes\nBut I'm not the only one"", ""Step away from the ledge\nI'm coming down"", 'I could never be\nWhat you want me to', 'You pulled me under\nTo save yourself\n(Save yourself)', ""You will never see\nWhat's inside of me"", 'I pulled you under just to save myself', 'Was there ever any question\nOn how much I could take?', 'You kept feeding me your bullshit\nHoping I would break', 'Is there anybody out there?\nIs there anyone who cares?\nIs there anybody listening?\nWill they hear my final prayers?', ""Step away from the ledge\nI'm coming down"", 'I could never be\nWhat you want me to', 'You pulled me under\nTo save yourself\n(Save yourself)', ""You will never see\nWhat's inside of me"", 'I pulled you under just to save myself', ""It's caving in around me\n(Caving in)\nIt's tearing me apart\n(Tearing me)\nIt's all coming down around me\n(Coming down)\nDoes anyone anyone care at all?"", 'I will never be\nWhat you want me to\nYou pull me under\nI pull you under', 'I could never be\nWhat you want me to', 'You pulled me under\nTo save yourself', ""You will never see\nWhat's inside of me"", 'I pulled you under just to save myself']",Coming Down
979,The Gaslight Anthem,"['[Verse 1]', 'And the song just keeps on repeating', 'Drop the needle again', ""Oh but that ain't the way"", ""I can't move on and I can't stay the same"", 'Hey, turn the record over', ""Hey, I'll see you on the flip side"", 'There you go', 'Turn the key and engine over', 'Let her go\nLet somebody else lay at her feet', 'But have you seen my heart\nHave you seen how it bleeds', 'But Better Sense says']",45
980,Norah Jones,"['Trying to pick up the pace\nTrying to make it so I never see your face again', 'Time to throw this away\nWanna make sure that you never waste my time again', 'How does it feel\nOh, how does it feel to be you right now, dear?', 'You broke this apart', 'Please just let me go now\nPlease just let me go\nWould you please just let me go now?\nPlease just let me go', ""Out, I've gotta get you out\nI've gotta get you out\nI've gotta get you out of my head, get out\nI've gotta get you out\nI've gotta get you out\nI've gotta get you out of my head, get out"", ""Never said we'd be friends\nTrying to keep myself away from you\nCause you're bad, bad news"", ""With you gone, I'm alive\nMakes me feel like I took happy pills\nAnd time stands still"", 'Please just let me go now\nPlease just let me go\nWould you please just let me go now?\nPlease just let me go', ""Out, I've gotta get you out\nI've gotta get you out\nI've gotta get you out of my head, get out\nI've gotta get you out\nI've gotta get you out\nI've gotta get you out of my head, get out"", 'Please just let me go now\nPlease just let me go\nPlease just let me go now\nPlease just\nPlease just get me go now\nPlease just let me go\nPlease just let me go now\nPlease just']",Happy Pills
981,AWOLNATION,"['Well, I met an old man\nDying on a train\nNo more destination\nNo more pain', 'Well, he said\n""One thing before I graduate', 'Never let your fear decide your fate.""', ""I say you kill your heroes and\nFly, fly, baby don't cry"", ""No need to worry 'cause\nEverybody will die"", ""Every day we just\nGo, go, baby don't go\nDon't you worry we\nLove you more than you know"", 'Well, the sun one day will\nLeave us all behind\nUnexplainable sightings\nIn the sky\nWell, I hate to be\nThe one to ruin the night\nRight before your, right before your eyes', ""I say you kill your heroes and\nFly, fly, baby don't cry"", ""No need to worry 'cause\nEverybody will die"", ""Every day we just\nGo, go, baby don't go\nDon't you worry we\nLove you more than you know"", 'Well, I met an old man\nDying on a train\nNo more destination\nNo more pain', 'Well, he said\n""One thing before I graduate', 'Never let your fear decide your fate.""', ""I say you kill your heroes and\nFly, fly, baby don't cry"", ""No need to worry 'cause\nEverybody will die"", ""Every day we just\nGo, go, baby don't go\nDon't you worry we\nLove you more than you know"", ""I say you kill your heroes and\nFly, fly, baby don't cry"", ""No need to worry 'cause\nEverybody will die"", ""Every day we just\nGo, go, baby don't go\nDon't you worry we\nLove you more than you know""]",Kill Your Heroes
982,The Wombats,"['I bet they charge by the hour here\nThe kind of place you should bring your own UV ray', ""I'm only here because\nI wanna twist the structure of my average day"", 'We feel nothing,', 'so jump into the fog', ""We feel nothing, so jump into the fog\nI just hope it's your bones that shatter, not mine"", ""Snakes and ladders are banned in here, love\nThe climb's too rough just to slide back down again"", 'I feel the day deserves a truly sordid end', ""We feel nothing so jump into the fog\nI just hope it's your brains that splatter not mine"", ""It's just that life tastes sweeter when it's wrapped in debauchery"", 'Drop that five-step program', ""Because there's not an ounce of faith in this leap""]",Jump Into The Fog
983,Green Day,"[""Oh love\nOh love\nWon't you rain on me tonight"", ""Oh life\nOh life\nPlease don't pass me by"", ""Don't stop\nDon't stop\nDon't stop when the red lights flash"", ""Far away\nFar away\nWaste away tonight\nI'm wearing my heart on a noose\nFar away\nFar away\nWaste away tonight"", ""Tonight my heart's on the loose"", ""Oh lights\nAnd action\nI just can't be satisfied"", 'Oh hours\nAnd hours\nLike the dog years of the day', ""Far away\nFar away\nWaste away tonight\nI'm wearing my heart on a noose\nFar away\nFar away\nWaste away tonight"", ""Tonight my heart's on the loose"", 'Talk myself out of feeling', 'Talk myself out of falling in love\nFalling in love with you', ""Oh love\nOh love\nWon't you rain on me tonight"", ""Far away\nFar away\nWaste away tonight\nI'm wearing my heart on a noose\nFar away\nFar away\nWaste away tonight"", ""Tonight my heart's on the loose"", ""Far away\nFar away\nWaste away tonight\nI'm wearing my heart on a noose\nFar away\nFar away\nWaste away tonight"", ""Tonight my heart's on the loose"", ""Tonight my heart's on the loose\nTonight my heart's on the loose""]",Oh Love
984,The Killers,"[""Blonde hair blowing in the summer wind\nA blue-eyed girl playing in the sand\nI'd been on her trail for a little while"", 'But that was the night that she broke down and held my hand\nA teenage rush\nShe said, ""Ain\'t we all just runaways? We got time""', ""But that ain't much\nWe can't wait till tomorrow"", ""You got to know that this is real, baby, why you want to fight it?\nIt's the one thing you can choose, oh!"", 'I swore on the head of our unborn child\nThat I could take care of the three of us', ""But I got the tendency to slip when the nights get wild\nIt's in my blood"", 'She said she might just runaway somewhere else\nSomeplace good', ""We can't wait til tomorrow\nYou got to know that this is real, baby, why you want to fight it?"", 'We used to look at the stars and confess our dreams\nHold each other till the morning light\nWe used to laugh, now we only fight\nBaby are you lonesome now?', 'At night I come home after they go to sleep', ""I recognize the girl but I can't settle in these walls"", 'I turn the engine over and my body just comes alive']",Runaways
985,No Doubt,"['Get get get in line, and settle down\nGet in line, and settle down', ""What's your twenty?"", ""Checking in to check you out\nConcerned about your whereabouts\nCopy that, you're acting strange"", ""I'm fine (and nothing's gonna knock this girl down)\nI'm hella positive for real, I'm all good no"", ""But you can see it my eyes, you can read on my lips\nI'm trying to get a hold on this\nAnd I really mean it this time\nAnd you know it's such a trip\nDon't get me started\nI'm trying to get a hold on this"", ""I'm fine (and nothing's gonna knock this girl down)\nI'm hella positive for real, I'm all good no"", ""I'm a rough and tough, I'm a rough and tough""]",Settle Down
